Session,User,Query,Code,Page_number,Ranking_position,c_i,Sum_c,Jaccard Similarity Coeficient,c_i + Jaccard,Sum_(c_i + Jaccard),m_i,gamma_r_ij,p_i,m_i/p_i,log_2 m_i/p_i,H_parcial,H_Total,D_kg,D_kg_round
,,ação renovatória retomada,SMI2,,,0,4,0,0,3,0,0,0,NA,,,,,
,,ação renovatória retomada art do cpc,PT1,,,0,4,"0,5","0,5","3,5","0,1428571429",0,0,NA,,,,,
,,ação renovatória retomada do imóvel stf,TE1,,,0,4,"0,5","0,5","3,5","0,1428571429",0,0,NA,,,,,
,,,C8,,,0,4,"0,5","0,5","3,5","0,1428571429",0,0,NA,,,,,
,,ação renovatória retomada do imóvel sem pedido expresso,TE1,,,0,4,"0,5555555556","0,5555555556","4,055555556","0,1369863014",0,0,NA,,,,,
,,Lei do inquilinato,TE1,,,0,4,"0,1","0,1","5,155555556","0,01939655172",0,0,NA,,,,,
,,,SMI5,1,1,1,5,"0,1","1,1","5,155555556","0,213362069",1,1,"0,213362069","-2,228624375","-2,228624375","-5,813586876","0,06813586876","0,07"
,,,SMI8,,,0,5,"0,1","0,1","5,155555556","0,01939655172",0,0,NA,,,,,
,,"BUZAID, Alfredo. Da ação renovatória e das demais ações oriundas de contrato de locação de imóveis destinados a fins comerciais. 3. ed. rev. e aum. São Paulo: Saraiva, 1998",SMI2,,,0,5,0,0,"5,155555556",0,0,0,NA,,,,,
,,"BUZAID, Alfredo. Da ação renovatória e das demais ações oriundas de contrato de locação de imóveis destinados a fins comerciais.",SMI2,,,0,5,"0,6923076923","0,6923076923","5,847863248","0,1183864367",0,0,NA,,,,,
,,Da ação renovatória e das demais ações oriundas de contrato de locação de imóveis destinados a fins comerciais,SMI2,,,0,5,"0,7894736842","0,7894736842","6,637336932","0,1189443435",0,0,NA,,,,,
,,,SMI5,,,0,5,"0,7894736842","0,7894736842","6,637336932","0,1189443435",0,0,NA,,,,,
,,ação renovatória retomada presunção de sinceridade,TE1,,,0,5,"0,1578947368","0,1578947368","6,795231669","0,02323610799",0,0,NA,,,,,
,,ação renovatória retomada presunção,SMI2,,,0,5,"0,6666666667","0,6666666667","7,461898336","0,08934276999",0,0,NA,,,,,
,,ação renovatória improcedente presunção,TE1,,,0,5,"0,6","0,6","8,061898336","0,07442415856",0,0,NA,,,,,
,,ação renovatória improcedente retomada,TE1,,,0,5,"0,6","0,6","8,661898336","0,06926888042",0,0,NA,,,,,
,,Lei do inquilinato,TE1,1,1,1,6,0,1,"9,661898336","0,1034993296",1,1,"0,1034993296","-3,272306673","-3,272306673","-9,085893548","0,1008589355","0,10"
,,,SMI8,,,0,6,0,0,"9,661898336",0,0,0,NA,,,,,
,,ação renovatória verificação do exercício do direito de retomada mesmo sem pedido expresso de defesa,TE1,,,0,6,"0,06666666667","0,06666666667","9,728565002","0,006852672172",0,0,NA,,,,,
,,"ação renovatória ""verificação do exercício do direito de retomada mesmo sem pedido expresso de defesa""",TE1,,,0,6,"0,7333333333","0,7333333333","10,46189834","0,07009562795",0,0,NA,,,,,
4_3,USER_4,danos morais extravio de bagagem quantificação abalo psicológico,SMI2,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,,C8,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,,SMI6,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,danos morais in re ipsa atraso em voo,SMI3,,,0,0,"0,1428571429","0,1428571429","0,1428571429",1,0,0,NA,,,,,
,,,C8,,,0,0,"0,1428571429","0,1428571429","0,1428571429",1,0,0,NA,,,,,
,,,SMI6,,,0,0,"0,1428571429","0,1428571429","0,1428571429",1,0,0,NA,,,,,
,,"danos morais in re ipsa ""atraso em voo""",TE1,,,0,0,"0,6","0,6","1,742857143","0,3442622951",0,0,NA,,,,,
,,,C8,,,0,0,"0,6","0,6","1,742857143","0,3442622951",0,0,NA,,,,,
,,,SMI6,1,6,1,1,"0,6","1,6","1,742857143","0,9180327869","0,54","0,54","1,700060716","0,7655862721","0,4134165869","0,4134165869","0,005865834131","0,01"
,,,SMI7,,,0,1,"0,6","0,6","1,742857143","0,3442622951",0,0,NA,,,,,
,,,E4,,,0,1,"0,6","0,6","1,742857143","0,3442622951",0,0,NA,,,,,
5_1,USER_5,"diferença ""direito à posse"" ""direito de posse""",SMI2,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,,C8,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,"diferença ""direito à posse""",SMI2,,,0,0,"0,8","0,8","0,8",1,0,0,NA,,,,,
,,direito à posse,SMI2,,,0,0,"0,75","0,75","1,55","0,4838709677",0,0,NA,,,,,
,,direito a posse e direito de posse,SMI3,,,0,0,0,0,"1,55",0,0,0,NA,,,,,
,,direito a posse,SMI2,,,0,0,"0,6","0,6","2,15","0,2790697674",0,0,NA,,,,,
,,direito à posse,TE1,,,0,0,0,0,"2,15",0,0,0,NA,,,,,
,,,SMI6,,,0,0,0,0,"2,15",0,0,0,NA,,,,,
,,jus possidendi e jus possessionis,SMI3,1,1,1,1,0,1,"3,15","0,3174603175",1,1,"0,3174603175","-1,655351829","-1,655351829","-1,655351829","0,02655351829","0,03"
,,,SMI6,,,0,1,0,0,"3,15",0,0,0,NA,,,,,
,,,E3,,,0,1,0,0,"3,15",0,0,0,NA,,,,,
,,,C9,,,0,1,0,0,"3,15",0,0,0,NA,,,,,
,,posse manda,TE1,,,0,1,0,0,"3,15",0,0,0,NA,,,,,
,,,PS2,,,0,1,0,0,"3,15",0,0,0,NA,,,,,
,,posse mansa,SMI3,,,0,1,"0,3333333333","0,3333333333","3,483333333","0,0956937799",0,0,NA,,,,,
,,,SMI6,,,0,1,"0,3333333333","0,3333333333","3,483333333","0,0956937799",0,0,NA,,,,,
,,"tubação esbulho ""ação possessória""",PT1,1,4,1,2,0,1,"4,483333333","0,2230483271","0,82","0,82","0,272010155","-1,878267582","-1,540179417","-3,195531246","0,04195531246","0,04"
,,,SMI6,,,0,2,0,0,"4,483333333",0,0,0,NA,,,,,
,,,SMI8,,,0,2,0,0,"4,483333333",0,0,0,NA,,,,,
,,,C6,,,0,2,0,0,"4,483333333",0,0,0,NA,,,,,
,,tubação esbulho,SMI2,,,0,2,"0,5","0,5","4,983333333","0,1003344482",0,0,NA,,,,,
,,,SMI6,,,0,2,"0,5","0,5","4,983333333","0,1003344482",0,0,NA,,,,,
,,tubação esbulho diferença,PT1,1,1,1,3,"0,6666666667","1,666666667","6,65","0,2506265664",1,1,"0,2506265664","-1,996388746","-1,996388746","-5,191919992","0,06191919992","0,06"
,,,SMI8,,,0,3,"0,6666666667","0,6666666667","6,65","0,1002506266",0,0,NA,,,,,
,,,E3,,,0,3,"0,6666666667","0,6666666667","6,65","0,1002506266",0,0,NA,,,,,
5_2,USER_5,vênia congugal locação,C4,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,vênia congugal,SMI2,,,0,0,"0,6666666667","0,6666666667","0,6666666667",1,0,0,NA,,,,,
,,vênia conjugal para a propositura de ação,SMI3,,,0,0,"0,125","0,125","0,7916666667","0,1578947368",0,0,NA,,,,,
,,,PS1,,,0,0,"0,125","0,125","0,7916666667","0,1578947368",0,0,NA,,,,,
,,vênia conjugal para locação,TE1,1,6,1,1,"0,375","1,375","2,166666667","0,6346153846","0,54","0,54","1,175213675","0,2329230888","0,125778468","0,125778468","0,00874221532","0,01"
,,,SMI8,,,0,1,"0,375","0,375","2,166666667","0,1730769231",0,0,NA,,,,,
,,aluguel tributos cobrados,PT1,,,0,1,0,0,"2,166666667",0,0,0,NA,,,,,
,,locação tributos cobrança,PT1,1,3,1,2,"0,2","1,2","3,366666667","0,3564356436","0,95","0,95","0,3751954143","-1,4142859","-1,343571605","-1,217793137","0,02217793137","0,02"
,,,C6,,,0,2,"0,2","0,2","3,366666667","0,05940594059",0,0,NA,,,,,
,,,SMI6,,,0,2,"0,2","0,2","3,366666667","0,05940594059",0,0,NA,,,,,
,,,C6,,,0,2,"0,2","0,2","3,366666667","0,05940594059",0,0,NA,,,,,
,,locação tributos anuência locador,PT1,1,2,1,3,"0,4","1,4","4,766666667","0,2937062937",1,1,"0,2937062937","-1,767553914","-1,767553914","-2,985347051","0,03985347051","0,04"
,,,SMI6,,,0,3,"0,4","0,4","4,766666667","0,08391608392",0,0,NA,,,,,
,,,C6,,,0,3,"0,4","0,4","4,766666667","0,08391608392",0,0,NA,,,,,
,,locação contas,TE1,,,0,3,"0,2","0,2","4,966666667","0,04026845638",0,0,NA,,,,,
,,locação contas cobrança,PT1,,,0,3,"0,6666666667","0,6666666667","5,633333333","0,1183431953",0,0,NA,,,,,
,,locação imóvel contas cobrança,PT1,,,0,3,"0,75","0,75","7,383333333","0,1015801354",0,0,NA,,,,,
,,,SMI6,1,7,1,4,"0,75","1,75","7,383333333","0,237020316","0,47","0,47","0,5042985447","-0,9876500328","-0,4641955154","-3,449542566","0,04449542566","0,04"
,,,C9,,,0,4,"0,75","0,75","7,383333333","0,1015801354",0,0,NA,,,,,
,,,SMI8,,,0,4,"0,75","0,75","7,383333333","0,1015801354",0,0,NA,,,,,
,,,C6,,,0,4,"0,75","0,75","7,383333333","0,1015801354",0,0,NA,,,,,
,,locação imóvel tributos,TE1,1,5,1,5,"0,4","1,4","8,783333333","0,1593927894","0,69","0,69","0,2310040426","-2,114009996","-1,458666897","-4,908209463","0,05908209463","0,06"
,,,SMI6,,,0,5,"0,4","0,4","8,783333333","0,04554079696",0,0,NA,,,,,
,,,C6,,,0,5,"0,4","0,4","8,783333333","0,04554079696",0,0,NA,,,,,
,,locação imóvel tributos junto,PT1,1,3,1,6,"0,75","1,75","10,53333333","0,1661392405","0,95","0,95","0,1748834111","-2,515534649","-2,389757917","-7,29796738","0,0829796738","0,08"
,,,C6,,,0,6,"0,75","0,75","10,53333333","0,07120253165",0,0,NA,,,,,
,,,PT3,,,0,6,"0,75","0,75","10,53333333","0,07120253165",0,0,NA,,,,,
,,,SMI8,,,0,6,"0,75","0,75","10,53333333","0,07120253165",0,0,NA,,,,,
,,,E3,,,0,6,"0,75","0,75","10,53333333","0,07120253165",0,0,NA,,,,,
5_3,USER_5,STF danos materiais vôos internacionais,SMI2,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,STF extravio vôos internacionais,TE1,1,5,1,1,"0,5","1,5","1,5",1,"0,69","0,69","1,449275362","0,535331733","0,3693788958","0,3693788958","0,006306211042","0,01"
,,,C6,1,6,1,2,"0,5","1,5","1,5",1,"0,96","0,96","1,041666667","0,05889368905","0,05653794149","0,4259168373","0,005740831627","0,01"
,,,SMI6,,,0,2,"0,5","0,5","1,5","0,3333333333",0,0,NA,,,,,
,,,C6,,,0,2,"0,5","0,5","1,5","0,3333333333",0,0,NA,,,,,
,,STJ extravio vôos internacionais,TE1,1,6,1,3,"0,6","1,6","3,1","0,5161290323","0,54","0,54","0,9557945042","-0,06522762278","-0,0352229163","0,390693921","0,00609306079","0,01"
,,,SMI6,,,0,3,"0,6","0,6","3,1","0,1935483871",0,0,NA,,,,,
,,STJ vôos internacionais stf 2017,TE1,1,7,1,4,"0,5","1,5","4,6","0,3260869565","0,47","0,47","0,6938020352","-0,5274040224","-0,2478798905","0,1428140305","0,008571859695","0,01"
,,,SMI8,,,0,4,"0,5","0,5","4,6","0,1086956522",0,0,NA,,,,,
,,,E3,,,0,4,"0,5","0,5","4,6","0,1086956522",0,0,NA,,,,,
6_1,USER_6,definição possuidor Código Civil,C4,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,,SMI2,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,,SMI5,1,2,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,SMI6,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,E3,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,E4,,,0,1,0,0,1,0,0,0,NA,,,,,
,,vicios objetivos posse injusta,SMI2,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,SMI5,1,2,1,2,0,1,2,"0,5",1,1,"0,5",-1,-1,-1,"0,02","0,02"
,,,SMI6,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,E3,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,E4,,,0,2,0,0,2,0,0,0,NA,,,,,
,,jus possidendi e jus possessionis,SMI3,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,SMI6,1,1,1,3,0,1,3,"0,3333333333",1,1,"0,3333333333","-1,584962501","-1,584962501","-2,584962501","0,03584962501","0,04"
,,,E4,,,0,3,0,0,3,0,0,0,NA,,,,,
6_2,USER_6,há mais de um locador ou mais de um locatário responsabilidade,SMI2,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,dois locadores responsabilidade,TE1,,,0,0,"0,1","0,1","0,1",1,0,0,NA,,,,,
,,,SMI3,,,0,0,"0,1","0,1","0,1",1,0,0,NA,,,,,
,,dois locadores responsabilidade solidária,PT1,,,0,0,"0,1666666667","0,1666666667","0,2666666667","0,625",0,0,NA,,,,,
,,,SMI6,,,0,0,"0,1666666667","0,1666666667","0,2666666667","0,625",0,0,NA,,,,,
,,responsabilidade solidária mais de um locador,TE1,,,0,0,"0,25","0,25","0,5166666667","0,4838709677",0,0,NA,,,,,
,,responsabilidade solidária pluralidade de locadores,TE1,,,0,0,"0,375","0,375","0,8916666667","0,4205607477",0,0,NA,,,,,
,,pluralidade de locadores responsabilidade solidária,PS1,1,1,1,1,1,2,"2,891666667","0,6916426513",1,1,"0,6916426513","-0,531901257","-0,531901257","-0,531901257","0,01531901257","0,02"
,,,SMI6,,,0,1,1,1,"2,891666667","0,3458213256",0,0,NA,,,,,
,,,C6,1,4,1,2,1,2,"2,891666667","0,6916426513","0,82","0,82","0,8434666479","-0,2455970718","-0,2013895989","-0,7332908559","0,01733290856","0,02"
,,,SMI6,,,0,2,1,1,"2,891666667","0,3458213256",0,0,NA,,,,,
,,,C6,,,0,2,1,1,"2,891666667","0,3458213256",0,0,NA,,,,,
,,locadores responsabilidade solidária,SMI2,,,0,2,"0,6","0,6","3,491666667","0,1718377088",0,0,NA,,,,,
,,dois locadores responsabilidade solidária,PT1,,,0,2,"0,75","0,75","4,241666667","0,1768172888",0,0,NA,,,,,
,,dois locadores responsabilidade solidária lei inquilinato,PT1,,,0,2,"0,6666666667","0,6666666667","5,908333333","0,1128349788",0,0,NA,,,,,
,,,SMI6,1,2,1,3,"0,6666666667","1,666666667","5,908333333","0,2820874471",1,1,"0,2820874471","-1,825785627","-1,825785627","-2,559076483","0,03559076483","0,04"
,,,SMI8,,,0,3,"0,6666666667","0,6666666667","5,908333333","0,1128349788",0,0,NA,,,,,
,,,PT2,1,3,1,4,"0,6666666667","1,666666667","5,908333333","0,2820874471","0,62","0,62","0,4549797534","-1,136125748","-0,7043979638","-3,263474447","0,04263474447","0,04"
,,,PT3,1,4,1,5,"0,6666666667","1,666666667","5,908333333","0,2820874471","0,77","0,77","0,3663473339","-1,448715978","-1,115511303","-4,37898575","0,0537898575","0,05"
,,,SMI8,,,0,5,"0,6666666667","0,6666666667","5,908333333","0,1128349788",0,0,NA,,,,,
,,,C1,,,0,5,"0,6666666667","0,6666666667","5,908333333","0,1128349788",0,0,NA,,,,,
,,,TE2,,,0,5,"0,6666666667","0,6666666667","5,908333333","0,1128349788",0,0,NA,,,,,
,,lei nº 8.245/91,D2,,,0,5,"0,125","0,125","7,033333333","0,01777251185",0,0,NA,,,,,
,,,TE3,1,1,1,6,"0,125","1,125","7,033333333","0,1599526066",1,1,"0,1599526066","-2,644283592","-2,644283592","-7,023269342","0,08023269342","0,08"
,,,SMI6,,,0,6,"0,125","0,125","7,033333333","0,01777251185",0,0,NA,,,,,
,,,E2,,,0,6,"0,125","0,125","7,033333333","0,01777251185",0,0,NA,,,,,
,,morte locatário sub-rogado,C2,,,0,6,0,0,"8,033333333",0,0,0,NA,,,,,
,,,SMI2,1,1,1,7,0,1,"8,033333333","0,1244813278",1,1,"0,1244813278","-3,005998741","-3,005998741","-10,02926808","0,1102926808","0,11"
,,,E2,,,0,7,0,0,"8,033333333",0,0,0,NA,,,,,
,,,E4,,,0,7,0,0,"8,033333333",0,0,0,NA,,,,,
,,direito de retomada pedido expresso ação renovatória,SMI2,,,0,7,0,0,"9,033333333",0,0,0,NA,,,,,
,,,SMI6,1,1,1,8,0,1,"9,033333333","0,110701107",1,1,"0,110701107","-3,175258446","-3,175258446","-13,20452653","0,1420452653","0,14"
,,,E2,,,0,8,0,0,"9,033333333",0,0,0,NA,,,,,
,,,SMI8,,,0,8,0,0,"9,033333333",0,0,0,NA,,,,,
,,,C2,,,0,8,0,0,"9,033333333",0,0,0,NA,,,,,
,,retomada pedido expresso ação renovatória,SMI2,,,0,8,"0,7142857143","0,7142857143","10,74761905","0,06645990253",0,0,NA,,,,,
,,,SMI5,1,2,1,9,"0,7142857143","1,714285714","10,74761905","0,1595037661",1,1,"0,1595037661","-2,648337607","-2,648337607","-15,85286414","0,1685286414","0,17"
,,,SMI6,,,0,9,"0,7142857143","0,7142857143","10,74761905","0,06645990253",0,0,NA,,,,,
,,,SMI8,,,0,9,"0,7142857143","0,7142857143","10,74761905","0,06645990253",0,0,NA,,,,,
,,,E3,,,0,9,"0,7142857143","0,7142857143","10,74761905","0,06645990253",0,0,NA,,,,,
6_3,USER_6,dano moral decorrente de atraso/cancelamento de voo e extravio de bagagens,SMI2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,SMI5,1,2,1,2,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,SMI6,,,0,2,0,0,1,0,0,0,NA,,,,,
,,,C6,,,0,2,0,0,1,0,0,0,NA,,,,,
,,,SMI6,1,2,1,3,0,1,1,1,"0,98","0,98","1,020408163","0,02914634566","0,02856341875","0,02856341875","0,009714365813","0,01"
,,,PT2,1,1,1,4,0,1,1,1,1,1,1,0,0,"0,02856341875","0,009714365813","0,01"
,,,C1,,,0,4,0,0,1,0,0,0,NA,,,,,
,,,TE2,,,0,4,0,0,1,0,0,0,NA,,,,,
,,dano moral decorrente de atraso/cancelamento de voo e extravio de bagagens,PS1,,,0,4,1,1,3,"0,3333333333",0,0,NA,,,,,
,,,TE3,1,1,1,5,1,2,3,"0,6666666667",1,1,"0,6666666667","-0,5849625007","-0,5849625007","-0,556399082","0,01556399082","0,02"
,,,PT3,1,2,1,6,1,2,3,"0,6666666667",1,1,"0,6666666667","-0,5849625007","-0,5849625007","-1,141361583","0,02141361583","0,02"
,,,PT2,1,1,1,7,1,2,3,"0,6666666667",1,1,"0,6666666667","-0,5849625007","-0,5849625007","-1,726324083","0,02726324083","0,03"
,,,SMI6,,,0,7,1,1,3,"0,3333333333",0,0,NA,,,,,
,,,C1,,,0,7,1,1,3,"0,3333333333",0,0,NA,,,,,
,,,TE2,,,0,7,1,1,3,"0,3333333333",0,0,NA,,,,,
,,Agrg no Ag 442 487/RJ,D2,1,1,1,8,0,1,4,"0,25",1,1,"0,25",-2,-2,"-3,726324083","0,04726324083","0,05"
,,Agrg no Ag 442 487/RJ,PS1,1,1,1,9,1,2,6,"0,3333333333",1,1,"0,3333333333","-1,584962501","-1,584962501","-5,311286584","0,06311286584","0,06"
,,,E2,,,0,9,1,1,6,"0,1666666667",0,0,NA,,,,,
7_1,USER_7,posse justa e injusta,SMI1,,,0,0,0,0,1,NA,0,0,NA,,,,,
,,,SMI2,,,0,0,0,0,1,NA,0,0,NA,,,,,
,,,SMI5,1,1,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,SMI6,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,E3,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,SMI8,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,SMI7,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,E4,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,SMI8,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,SMI7,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,E4,,,0,1,0,0,1,0,0,0,NA,,,,,
,,Agint no Resp: 1952242 SE 2021/0217220-8,D2,1,1,1,2,0,1,2,"0,5",1,1,"0,5",-1,-1,-1,"0,02","0,02"
,,,SMI6,,,0,2,0,0,2,0,0,0,NA,,,,,
,,jus possidendi e jus possessionis,SMI3,,,0,2,0,0,3,0,0,0,NA,,,,,
,,,SMI6,,,0,2,0,0,3,0,0,0,NA,,,,,
,,,E3,1,1,1,3,0,1,3,"0,3333333333",1,1,"0,3333333333","-1,584962501","-1,584962501","-2,584962501","0,03584962501","0,04"
,,,SMI7,,,0,3,0,0,3,0,0,0,NA,,,,,
,,,E4,,,0,3,0,0,3,0,0,0,NA,,,,,
7_2,USER_7,qual contrato de locação exigencia anunencia conjugal?,SMI2,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,contrato de locação que precisa de vênia conjulgal,PS2,,,0,0,"0,2727272727","0,2727272727","0,2727272727",1,0,0,NA,,,,,
,,vênia conjugal para contrato de locação de imóvel,TE1,,,0,0,"0,4","0,4","1,672727273","0,2391304348",0,0,NA,,,,,
,,,SMI5,1,1,1,1,"0,4","1,4","1,672727273","0,8369565217",1,1,"0,8369565217","-0,2567754154","-0,2567754154","-0,2567754154","0,02","0,02"
,,,SMI6,,,0,1,"0,4","0,4","1,672727273","0,2391304348",0,0,NA,,,,,
,,,SMI7,,,0,1,"0,4","0,4","1,672727273","0,2391304348",0,0,NA,,,,,
,,,E4,,,0,1,"0,4","0,4","1,672727273","0,2391304348",0,0,NA,,,,,
,,lei do inquilinato direito de preferência,SMI2,,,0,1,"0,08333333333","0,08333333333","2,756060606","0,03023639362",0,0,NA,,,,,
,,,SMI5,1,1,1,2,"0,08333333333","1,083333333","2,756060606","0,3930731171",1,1,"0,3930731171","-1,347130396","-1,347130396","-1,603905811","0,02603905811","0,03"
,,,SMI6,,,0,2,"0,08333333333","0,08333333333","2,756060606","0,03023639362",0,0,NA,,,,,
,,,SMI7,,,0,2,"0,08333333333","0,08333333333","2,756060606","0,03023639362",0,0,NA,,,,,
,,,E4,,,0,2,"0,08333333333","0,08333333333","2,756060606","0,03023639362",0,0,NA,,,,,
7_3,USER_7,Como foi a evolução do entendimento do STJ sobre a aplicação do Código de Defesa do Consumidor nos casos de responsabilidade civil de companhias aéreas em voo internacional?,SMI2,,,0,0,0,0,1,0,0,0,NA,,,,,
,,,SMI5,,,0,0,0,0,1,0,0,0,NA,,,,,
,,,PT2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,SMI6,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,SMI8,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,C1,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,TE2,,,0,1,0,0,1,0,0,0,NA,,,,,
,,Como foi a evolução do entendimento do STJ sobre a aplicação do Código de Defesa do Consumidor nos casos de responsabilidade civil de companhias aéreas em voo internacional?,SMI2,,,0,1,"0,9545454545","0,9545454545","2,954545455","0,3230769231",0,0,NA,,,,,
,,,SMI6,,,0,1,"0,9545454545","0,9545454545","2,954545455","0,3230769231",0,0,NA,,,,,
,,,TE3,1,1,1,2,"0,9545454545","1,954545455","2,954545455","0,6615384615",1,1,"0,6615384615","-0,5961030583","-0,5961030583","-0,5961030583","0,01596103058","0,02"
,,,C6,,,0,2,"0,9545454545","0,9545454545","2,954545455","0,3230769231",0,0,NA,,,,,
,,,SMI6,,,0,2,"0,9545454545","0,9545454545","2,954545455","0,3230769231",0,0,NA,,,,,
,,,D1,,,0,2,"0,9545454545","0,9545454545","2,954545455","0,3230769231",0,0,NA,,,,,
,,"Qual a regra para reparação de danos materiais decorrentes de extravio de bagagem em voos nacionais, segundo o entendimento da legislação brasileira?",SMI2,,,0,2,"0,1081081081","0,1081081081","4,062653563","0,02661022074",0,0,NA,,,,,
,,,SMI5,1,1,1,3,"0,1081081081","1,108108108","4,062653563","0,2727547626",1,1,"0,2727547626","-1,874323707","-1,874323707","-2,470426765","0,03470426765","0,03"
,,,SMI6,,,0,3,"0,1081081081","0,1081081081","4,062653563","0,02661022074",0,0,NA,,,,,
,,,SMI8,,,0,3,"0,1081081081","0,1081081081","4,062653563","0,02661022074",0,0,NA,,,,,
,,,SMI7,,,0,3,"0,1081081081","0,1081081081","4,062653563","0,02661022074",0,0,NA,,,,,
,,,E4,,,0,3,"0,1081081081","0,1081081081","4,062653563","0,02661022074",0,0,NA,,,,,
,,"Qual é a regra geral da responsabilidade civil aplicada aos fornecedores de serviços de transporte aéreo, de acordo com o Código de Defesa do Consumidor (CDC)?",SMI2,,,0,3,"0,1621621622","0,1621621622","5,224815725","0,03103691512",0,0,NA,,,,,
,,,SMI6,,,0,3,"0,1621621622","0,1621621622","5,224815725","0,03103691512",0,0,NA,,,,,
,,,SMI5,1,1,1,4,"0,1621621622","1,162162162","5,224815725","0,222431225",1,1,"0,222431225","-2,168568766","-2,168568766","-4,638995532","0,05638995532","0,06"
,,,SMI6,,,0,4,"0,1621621622","0,1621621622","5,224815725","0,03103691512",0,0,NA,,,,,
,,,C1,,,0,4,"0,1621621622","0,1621621622","5,224815725","0,03103691512",0,0,NA,,,,,
,,,TE2,,,0,4,"0,1621621622","0,1621621622","5,224815725","0,03103691512",0,0,NA,,,,,
,,"Qual é a regra geral da responsabilidade civil aplicada aos fornecedores de serviços de transporte aéreo, de acordo com o Código de Defesa do Consumidor (CDC)?",SMI2,,,0,4,1,1,"7,224815725","0,1384118347",0,0,NA,,,,,
,,,TE3,1,1,1,5,1,2,"7,224815725","0,2768236694",1,1,"0,2768236694","-1,852960791","-1,852960791","-6,491956322","0,07491956322","0,07"
,,,SMI7,,,0,5,1,1,"7,224815725","0,1384118347",0,0,NA,,,,,
,,,E4,,,0,5,1,1,"7,224815725","0,1384118347",0,0,NA,,,,,
,,Qual é o entendimento atual acerca da configuração do dano moral decorrente de atrasos/cancelamentos de voos e extravio de bagagens?,SMI2,,,0,5,"0,1714285714","0,1714285714","8,396244296","0,02041729199",0,0,NA,,,,,
,,,SMI6,,,0,5,"0,1714285714","0,1714285714","8,396244296","0,02041729199",0,0,NA,,,,,
,,,SMI5,1,1,1,6,"0,1714285714","1,171428571","8,396244296","0,1395181619",1,1,"0,1395181619","-2,841475156","-2,841475156","-9,333431479","0,1033343148","0,10"
,,,SMI6,,,0,6,"0,1714285714","0,1714285714","8,396244296","0,02041729199",0,0,NA,,,,,
,,,SMI8,,,0,6,"0,1714285714","0,1714285714","8,396244296","0,02041729199",0,0,NA,,,,,
,,,C1,,,0,6,"0,1714285714","0,1714285714","8,396244296","0,02041729199",0,0,NA,,,,,
,,,TE2,,,0,6,"0,1714285714","0,1714285714","8,396244296","0,02041729199",0,0,NA,,,,,
,,Qual é o entendimento atual acerca da configuração do dano moral decorrente de atrasos/cancelamentos de voos e extravio de bagagens?,SMI2,,,0,6,1,1,"10,3962443","0,09618858229",0,0,NA,,,,,
,,,SMI6,1,1,1,7,1,2,"10,3962443","0,1923771646",1,1,"0,1923771646","-2,377990535","-2,377990535","-11,71142201","0,1271142201","0,13"
,,,SMI7,,,0,7,1,1,"10,3962443","0,09618858229",0,0,NA,,,,,
,,,E4,,,0,7,1,1,"10,3962443","0,09618858229",0,0,NA,,,,,
8_1,USER_8,Jus Possessionis,SMI2,,,0,0,0,0,1,0,0,0,NA,,,,,
,,,SMI6,1,1,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,E3,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,SMI7,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,E4,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,SMI2,,,0,1,0,0,1,0,0,0,NA,,,,,
