Session,User,Query,Code,Page_number,Ranking_position,c_i,Sum_c,Jaccard Similarity Coeficient,c_i + Jaccard,Sum_(c_i + Jaccard),m_i,gamma_r_ij,p_i,m_i/p_i,log_2 m_i/p_i,H_parcial,H_Total,D_kg,D_kg_round
,,benfeitorias indenizáveis locatário,PT1,,,0,6,"0,6666666667","0,6666666667","9,195238095","0,07250129467",0,0,NA,,,,,
,,,SMI6,1,1,1,7,"0,6666666667","1,666666667","9,861904762","0,1690004829",1,1,"0,1690004829","-2,564900726","-2,564900726","-11,30827812","0,1230827812","0,12"
,,,E3,,,0,7,"0,6666666667","0,6666666667","9,861904762","0,06760019314",0,0,NA,,,,,
1_3,USER_1,tese STF convenção de montreal bagagem,C4,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,,SMI2,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,,SMI6,1,1,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,SMI7,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,E4,,,0,1,0,0,1,0,0,0,NA,,,,,
,,tese STF convenção de montreal bagagem valor,PT1,1,2,1,2,"0,8571428571","1,857142857","2,857142857","0,65",1,1,"0,65","-0,6214883767","-0,6214883767","-0,6214883767","0,01621488377","0,02"
,,,SMI6,,,0,2,"0,8571428571","0,8571428571","2,857142857","0,3",0,0,NA,,,,,
,,convenção de montreal,SMI2,1,1,1,3,"0,4285714286","1,428571429","4,285714286","0,3333333333",1,1,"0,3333333333","-1,584962501","-1,584962501","-2,206450877","0,03206450877","0,03"
,,,SMI8,,,0,3,"0,4285714286","0,4285714286","4,285714286","0,1",0,0,NA,,,,,
,,,SMI7,,,0,3,"0,4285714286","0,4285714286","4,285714286","0,1",0,0,NA,,,,,
,,,E4,,,0,3,"0,4285714286","0,4285714286","4,285714286","0,1",0,0,NA,,,,,
,,,C6,,,0,3,"0,4285714286","0,4285714286","4,285714286","0,1",0,0,NA,,,,,
,,STJ entendimento responsabilidade civil voo internacional,TE1,,,0,3,0,0,"5,285714286",0,0,0,NA,,,,,
,,,SMI6,1,2,1,4,0,1,"5,285714286","0,1891891892",1,1,"0,1891891892","-2,402098444","-2,402098444","-4,608549321","0,05608549321","0,06"
,,STJ entendimento responsabilidade civil voo internacional STF,PT1,1,1,1,5,"0,8571428571","1,857142857","7,142857143","0,26",1,1,"0,26","-1,943416472","-1,943416472","-6,551965793","0,07551965793","0,08"
,,,SMI8,,,0,5,"0,8571428571","0,8571428571","7,142857143","0,12",0,0,NA,,,,,
,,,PT2,,,0,5,"0,8571428571","0,8571428571","7,142857143","0,12",0,0,NA,,,,,
,,,PT3,,,0,5,"0,8571428571","0,8571428571","7,142857143","0,12",0,0,NA,,,,,
,,CDC,TE1,,,0,5,0,0,"7,142857143",0,0,0,NA,,,,,
,,CDC tem regra específica para extravio de bagagem,PT1,,,0,5,"0,125","0,125","8,267857143","0,0151187905",0,0,NA,,,,,
,,,SMI5,1,5,1,6,"0,125","1,125","8,267857143","0,1360691145","0,69","0,69","0,1972016152","-2,342256727","-1,616157141","-8,168122934","0,09168122934","0,09"
,,,SMI8,,,0,6,"0,125","0,125","8,267857143","0,0151187905",0,0,NA,,,,,
,,,C6,,,0,6,"0,125","0,125","8,267857143","0,0151187905",0,0,NA,,,,,
,,,SMI5,1,10,1,7,"0,125","1,125","8,267857143","0,1360691145","0,36","0,36","0,3779697624","-1,403657271","-0,5053166177","-8,673439552","0,09673439552","0,10"
,,,SMI8,,,0,7,"0,125","0,125","8,267857143","0,0151187905",0,0,NA,,,,,
,,,PT2,,,0,7,"0,125","0,125","8,267857143","0,0151187905",0,0,NA,,,,,
,,,PT3,,,0,7,"0,125","0,125","8,267857143","0,0151187905",0,0,NA,,,,,
,,atraso de voo dano moral in re ipsa,TE1,,,0,7,"0,06666666667","0,06666666667","9,33452381","0,00714194618",0,0,NA,,,,,
,,,SMI6,1,1,1,8,"0,06666666667","1,066666667","9,33452381","0,1142711389",1,1,"0,1142711389","-3,129467022","-3,129467022","-11,80290657","0,1280290657","0,13"
,,,SMI6,1,2,1,9,"0,06666666667","1,066666667","9,33452381","0,1142711389","0,98","0,98","0,1166032029","-3,100320677","-3,038314263","-14,84122084","0,1584122084","0,16"
,,,E1,,,0,9,"0,06666666667","0,06666666667","9,33452381","0,00714194618",0,0,NA,,,,,
